id,日期,录播来源,录播片段编号,起始时间点,结束时间点,歌名,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,谁切的,有没有第二版本
U00411,2020-09-19,BV12K4y1a79r,1,00:03:09.000,00:06:53.545,ヒトガタ,人型,HIMEHINA,呜米,完整,日语,,永远喜欢呜米的铃鹿(UID:102184050),TRUE,原草原组(UID:674421433),FALSE
U00412,2020-09-19,BV12K4y1a79r,1,00:38:03.000,00:41:29.641,光,,,呜米,完整,普通话,,永远喜欢呜米的铃鹿(UID:102184050),TRUE,原草原组(UID:674421433),FALSE
U00413,2020-09-19,BV12K4y1a79r,1,01:08:00.000,01:12:30.241,私、アイドル宣言,我的偶像宣言,,呜米,完整,日语,,永远喜欢呜米的铃鹿(UID:102184050),TRUE,原草原组(UID:674421433),FALSE
U00414,2020-09-19,BV12K4y1a79r,1,01:24:40.000,01:26:08.241,金蛇狂舞,,,呜米,半首,普通话,口哨 绝了,永远喜欢呜米的铃鹿(UID:102184050),TRUE,半步灬青莲(UID:173985337),FALSE
U00415,2020-09-19,BV12K4y1a79r,1,01:59:53.000,02:01:35.625,恭喜发财,,,呜米,完整,普通话,,永远喜欢呜米的铃鹿(UID:102184050),TRUE,原草原组(UID:674421433),FALSE
U00416,2020-09-21,BV1AA411J7SF,1,00:11:52.000,00:16:59.225,世界は恋に落ちている,我的世界已坠入爱河,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE
U00417,2020-09-21,BV1AA411J7SF,1,00:17:59.000,00:21:29.337,深海少女,,,呜米,完整,日语,漱口少女,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE
U00418,2020-09-21,BV1AA411J7SF,1,02:03:29.000,02:08:18.537,年少有为,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE
U00419,2020-09-21,BV1AA411J7SF,1,02:08:47.000,02:09:40.537,深夜诗人,,,呜米,几句,普通话,深夜DD,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE
U00420,2020-09-23,BV1vT4y1A7GE,1,01:35:07.000,01:38:50.945,ロキ/Roki,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE
